method,variant,display_label,benchmark,case_index,cells_per_side,cell_size,source_run,source_commit,canonical_geometry_match,do_c0,num_mixed_cells,num_merged_cells,num_merged_components,c0_adjustment_events,c0_rejection_events,num_c0_bad_joins_before_joint,num_c0_bad_joins_after_joint,num_c0_joint_components,num_c0_joint_components_solved,num_c0_joint_components_failed,num_c0_exact_c1_components,num_c0_conservative_fallback_components,max_c0_relative_area_residual,max_c0_tangent_angle_radians,primitive_count,arc_count,line_count,concave_arc_count,concave_arc_fraction,concave_arc_length_fraction,signed_curvature_arc_length_mean,native_symmetric_hausdorff,native_reconstruction_to_truth,native_truth_to_reconstruction,geometric_curvature_mean_absolute_error,geometric_curvature_rms_error,geometric_curvature_max_absolute_error,geometric_curvature_relative_l1_error,geometric_curvature_reconstructed_length,geometric_curvature_quadrature_samples,production_facet_gap,production_global_relative_area_error
Ours,per-cell circular,Ours (per-cell circular),ellipses,0,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,258,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,258,258,0,0,0.0,0.0,0.03960402704345059,0.00013468312842758478,0.00013468312842758478,0.00013248299138354642,0.00025459420585063165,0.0003856118031079794,0.0016531801265672053,0.006428660855668877,158.65454271452597,4128,5.5615473603710755e-05,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,1,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,252,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,252,252,0,0,0.0,0.0,0.04016740169011776,0.00014231318976173695,0.00014231318976173695,0.0001353659197179451,0.0003086802002540704,0.00048317164117595593,0.0023202057435850673,0.00768529441885141,156.43392242641696,4032,5.705915414194652e-05,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,2,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,248,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,248,248,0,0,0.0,0.0,0.04069423294304324,0.0001832118744287341,0.0001832118744287341,0.00018301771190652944,0.00035256043095532375,0.0005663902595193414,0.0025995608315438623,0.008664343644429641,154.4113574201079,3968,6.945110757804856e-05,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,3,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,244,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,244,244,0,0,0.0,0.0,0.041188657997575345,0.00019966498688505757,0.00019966498688505757,0.0001919566871592768,0.00041030981550010427,0.0006745096807087231,0.0032672686977584103,0.009962911593031623,152.563783319435,3904,7.078389664987233e-05,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,4,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,248,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,248,248,0,0,0.0,0.0,0.04164025344945713,0.0002694262568834714,0.0002694262568834714,0.0002693183905245192,0.0004487860018686267,0.0007360723931768925,0.0038800487394946848,0.010776123095524313,150.8709050900834,3968,0.00010505753438301434,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,0,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,64,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,64,64,0,0,0.0,0.0,0.03962276211246394,0.007686243759298198,0.007686243759298198,0.007286949171084596,0.001062836803133287,0.0016307649774138196,0.006844624899413766,0.026837208077869122,158.6565084240557,1024,0.00331627838906845,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,1,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,62,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,62,62,0,0,0.0,0.0,0.04022304898101017,0.0062330232425772064,0.0062330232425772064,0.005962708228622196,0.0012365569394624748,0.001900730904020902,0.008161082422072738,0.030788313901340264,156.43000415546476,992,0.003554018492216181,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,2,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,62,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,62,62,0,0,0.0,0.0,0.040725018394696,0.011902332187096581,0.011902332187096581,0.011257064712518802,0.0013827770800821741,0.002128722160577644,0.009711498802945785,0.033982039502856005,154.4201482306903,992,0.004464033981152754,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,3,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,60,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,60,60,0,0,0.0,0.0,0.04125784800844661,0.01038495670679101,0.010140371779213477,0.01038495670679101,0.001555995063145504,0.002509282437814757,0.011337954457153576,0.03778367945651811,152.5646750553465,960,0.004783226729420834,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,4,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,62,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,62,62,0,0,0.0,0.0,0.0415565609767347,0.018418249727768395,0.018418249727768395,0.018240802805479496,0.0018375215676449163,0.002953121588598682,0.013831135752400192,0.04412030261060862,150.86085723155998,992,0.006701990613261638,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,0,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,128,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,128,128,0,0,0.0,0.0,0.03960696552365789,0.0009631848730394884,0.0009631848730394884,0.0009630883453657026,0.0005288176540219284,0.000800365584838954,0.0032809197906574633,0.01335301294689175,158.65422096047482,2048,0.00042530275036137266,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,1,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,126,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,126,126,0,0,0.0,0.0,0.04016882262741259,0.0010094452500104723,0.0009894192777059137,0.0010094452500104723,0.0005895532836297536,0.000928312387969442,0.004265803607089919,0.014678163147891781,156.43461166155785,2016,0.0004906319866675869,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,2,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,124,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,124,124,0,0,0.0,0.0,0.04069979240553641,0.001233733941624186,0.001233733941624186,0.0012334538992778581,0.0006869149408435222,0.001096962858065403,0.005174605677156427,0.016881171892000574,154.41345166898512,1984,0.0005647738689812709,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,3,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,122,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,122,122,0,0,0.0,0.0,0.0412037621217829,0.0017199439204679894,0.0017199439204679894,0.0016415145060596496,0.0008219358854716257,0.0013380471459155472,0.005826414531588012,0.019957838328829636,152.56346646223767,1952,0.000562200084586468,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,4,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,124,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,124,124,0,0,0.0,0.0,0.041621762689522716,0.0021364467465840647,0.0021364467465840647,0.002133884397285929,0.0009047453642246239,0.0014813247906939084,0.007363778936761267,0.021724213735986656,150.87094370809876,1984,0.0008385222897946481,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,0,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,258,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,258,258,0,0,0.0,0.0,0.03960402704345059,0.00013468312842758478,0.00013468312842758478,0.00013248299138354642,0.00025459420585063165,0.0003856118031079794,0.0016531801265672053,0.006428660855668877,158.65454271452597,4128,5.5615473603710755e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,1,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,252,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,252,252,0,0,0.0,0.0,0.04016740169011776,0.00014231318976173695,0.00014231318976173695,0.0001353659197179451,0.0003086802002540704,0.00048317164117595593,0.0023202057435850673,0.00768529441885141,156.43392242641696,4032,5.705915414194652e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,2,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,248,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,248,248,0,0,0.0,0.0,0.04069423294304324,0.0001832118744287341,0.0001832118744287341,0.00018301771190652944,0.00035256043095532375,0.0005663902595193414,0.0025995608315438623,0.008664343644429641,154.4113574201079,3968,6.945110757804856e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,3,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,244,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,244,244,0,0,0.0,0.0,0.041188657997575345,0.00019966498688505757,0.00019966498688505757,0.0001919566871592768,0.00041030981550010427,0.0006745096807087231,0.0032672686977584103,0.009962911593031623,152.563783319435,3904,7.078389664987233e-05,nan
Ours,graph-coordinated circular,Ours (graph-coordinated circular),ellipses,4,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,248,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,248,248,0,0,0.0,0.0,0.04164025344945713,0.0002694262568834714,0.0002694262568834714,0.0002693183905245192,0.0004487860018686267,0.0007360723931768925,0.0038800487394946848,0.010776123095524313,150.8709050900834,3968,0.00010505753438301434,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,0,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,64,0,0,68,2,4,0,2,2,0,2,0,8.139991223288235e-11,9.325873406851315e-15,64,64,0,0,0.0,0.0,0.03961709994245666,0.001974011577367805,0.001974011577367805,0.001974004653362961,0.0011416299870121334,0.0016553281168163326,0.009139209420530023,0.028826899821575457,158.65437019122356,1024,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,1,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,62,0,0,68,3,6,0,3,3,0,3,0,7.329890649998561e-11,3.427813588530171e-14,62,62,0,0,0.0,0.0,0.040152272697605344,0.003066853908660894,0.003066853908660894,0.003066835452956092,0.0013184484849510258,0.0019269454165700944,0.01151827002274633,0.03282577177618528,156.4339666695967,992,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,2,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,62,0,0,70,4,8,0,4,4,0,4,0,9.508530638413503e-11,5.617728504603292e-14,62,62,0,0,0.0,0.0,0.040735350182303474,0.003569650996053655,0.003569650996053655,0.003569620130898924,0.0015177072757873206,0.0023112762249505293,0.011856902898824406,0.0372983252822664,154.41182512248628,992,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,3,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,60,0,0,64,2,4,0,2,2,0,2,0,8.443403203273193e-11,2.631228568361621e-14,60,60,0,0,0.0,0.0,0.04114294256134655,0.005024425483758663,0.005024425483758663,0.005024332295873487,0.0016782316035528363,0.0026398708461767635,0.018015822776919807,0.040749808415092445,152.5641082144714,960,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,4,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,62,0,0,66,2,4,0,2,2,0,2,0,5.922244099565433e-11,1.8707257964933888e-14,62,62,0,0,0.0,0.0,0.041746450481855935,0.0050441855539188766,0.0050441855539188766,0.005043949431135195,0.0021348698167084007,0.004980288832298197,0.0741748636215587,0.051262232158587356,150.87068087589643,992,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,0,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,128,0,0,140,6,12,0,6,6,0,6,0,9.946998602572422e-11,6.522560269672795e-14,128,128,0,0,0.0,0.0,0.03960761354335707,0.0002566351600470979,0.0002566351600470979,0.000256635160047017,0.0005427047440933348,0.000795048247207793,0.003082287034275863,0.013703638035939065,158.6543939691288,2048,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,1,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,126,0,0,132,4,8,0,2,2,0,2,0,9.092309483094141e-11,3.114175584073564e-14,126,126,0,0,0.0,0.0,0.0401670783626977,0.000263197789650191,0.000263197789650191,0.00025415017521357094,0.0006124726142047803,0.0009234264755352537,0.005684023191410842,0.015248881590548593,156.43400053283824,2016,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,2,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,124,0,0,134,5,10,0,5,5,0,5,0,9.31079974009208e-11,4.657385588302532e-14,124,124,0,0,0.0,0.0,0.040691391136556926,0.00028509717670104664,0.00028509717670104664,0.0002672412879193722,0.0006999663911152268,0.0010575094322569044,0.003970222660112058,0.01720196255406208,154.41185336655724,1984,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,3,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,122,0,0,138,9,18,0,7,7,0,7,0,9.804721230466385e-11,3.941291737419306e-14,122,121,1,0,0.0,0.0,0.041192673908766714,0.0004138391184613332,0.0004138391184613332,0.0004092057586628248,0.0008671552975165111,0.0013884396532256725,0.04237653688327791,0.021055697300845434,152.56415885817879,1952,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,4,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,124,0,0,142,9,18,0,9,9,0,9,0,4.157204784860369e-11,9.43689570931383e-14,124,124,0,0,0.0,0.0,0.04164401700960348,0.0004749059625701957,0.0004749059625701957,0.0004740440588038081,0.000959093870326721,0.0017470538992370869,0.08720912403512514,0.023029590500562677,150.87069076577382,1984,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,0,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,258,0,0,286,14,28,0,14,14,0,14,0,9.65734216151759e-11,2.0805579481475439e-13,258,258,0,0,0.0,0.0,0.03960256552489433,2.9709477235206675e-05,2.9709477235206675e-05,2.8638091959695073e-05,0.0002558924556036525,0.0003782675231376745,0.0015152982816104762,0.006461446078259928,158.65439577702637,4128,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,1,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,252,0,0,289,20,40,0,17,17,0,17,0,9.951045285561121e-11,1.166289287368727e-13,252,251,1,0,0.0,0.0,0.040166373890231775,3.582892137418839e-05,3.582892137418839e-05,3.455090329896779e-05,0.0003053700477963346,0.00047979289283317685,0.042853835223895284,0.007602872892343233,156.4340030528522,4032,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,2,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,248,0,0,273,13,26,0,12,12,0,12,0,9.137606866715941e-11,1.8279822100453202e-13,248,248,0,0,0.0,0.0,0.04069140777668394,3.949769088798941e-05,3.949769088798941e-05,3.9100378528247384e-05,0.00034945503494554486,0.0005386270340687841,0.002840813130646963,0.00858800087547886,154.4118559034148,3968,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,3,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,244,0,0,280,21,42,0,15,15,0,15,0,8.142515071085654e-11,2.266520304772257e-13,244,243,1,0,0.0,0.0,0.04118444239449606,5.411768714314201e-05,5.411768714314201e-05,5.411768713584897e-05,0.0004132542936855413,0.0006780888725294745,0.08213860290868683,0.010034368571258941,152.56416527103056,3904,0.0,nan
Ours,graph-coordinated circular + joint C0,Ours (graph-coordinated circular + joint C0),ellipses,4,128,0.78125,ellipse_circular_variants_joint_c0_common_metrics_20260814_graph_coordinated_circular_joint_c0_n128,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,True,248,0,0,295,27,54,0,20,20,0,20,0,9.555105862091295e-11,1.7141843500212417e-13,248,247,1,0,0.0,0.0,0.0416444899973306,6.627809897673443e-05,6.627809897673443e-05,6.62780989666943e-05,0.00045724741231375034,0.0007497598120696085,0.02373210153354661,0.01097934126063942,150.8706948300826,3968,0.0,nan
